EMPLOYEE_ID,F_NAME,L_NAME,EMAIL,PHONE,HIRE_DATE,JOB_ID,SALARY,COMMISSION_PCT,MANAGER_ID,DEPARTMENT_ID
168,Lisa,Ozer,LOZER,11441343929268,11-MAR-05,SA_REP,1150000,0.25,148,80
169,Harrison,Bloom,HBLOOM,11441343829268,23-MAR-06,SA_REP,1000000,0.2,148,80
170,Tayler,Fox,TFOX,11441343729268,24-JAN-06,SA_REP,960000,0.2,148,80
171,William,Smith,WSMITH,11441343629268,23-FEB-07,SA_REP,740000,0.15,148,80
172,Elizabeth,Bates,EBATES,11441343529268,24-MAR-07,SA_REP,730000,0.15,148,80
173,Sundita,Kumar,SKUMAR,11441343329268,21-APR-08,SA_REP,610000,0.1,148,80
174,Ellen,Abel,EABEL,11441644429267,11-MAY-04,SA_REP,1100000,0.3,149,80
175,Alyssa,Hutton,AHUTTON,11441644429266,19-MAR-05,SA_REP,880000,0.25,149,80
176,Jonathon,Taylor,JTAYLOR,11441644429265,24-MAR-06,SA_REP,860000,0.2,149,80
177,Jack,Livingston,JLIVINGS,11441644429264,23-APR-06,SA_REP,840000,0.2,149,80
178,Kimberely,Grant,KGRANT,11441644429263,24-MAY-07,SA_REP,700000,0.15,149,0
179,Charles,Johnson,CJOHNSON,11441644429262,04-JAN-08,SA_REP,620000,0.1,149,80
180,Winston,Taylor,WTAYLOR,6505079876,24-JAN-06,SH_CLERK,320000,0,120,50
181,Jean,Fleaur,JFLEAUR,6505079877,23-FEB-06,SH_CLERK,310000,0,120,50
182,Martha,Sullivan,MSULLIVA,6505079878,21-JUN-07,SH_CLERK,250000,0,120,50
183,Girard,Geoni,GGEONI,6505079879,03-FEB-08,SH_CLERK,280000,0,120,50
184,Nandita,Sarchand,NSARCHAN,6505091876,27-JAN-04,SH_CLERK,420000,0,121,50
185,Alexis,Bull,ABULL,6505092876,20-FEB-05,SH_CLERK,410000,0,121,50
186,Julia,Dellinger,JDELLING,6505093876,24-JUN-06,SH_CLERK,340000,0,121,50
187,Anthony,Cabrio,ACABRIO,6505094876,07-FEB-07,SH_CLERK,300000,0,121,50
188,Kelly,Chung,KCHUNG,6505051876,14-JUN-05,SH_CLERK,380000,0,122,50
189,Jennifer,Dilly,JDILLY,6505052876,13-AUG-05,SH_CLERK,360000,0,122,50
190,Timothy,Gates,TGATES,6505053876,11-JUL-06,SH_CLERK,290000,0,122,50
191,Randall,Perkins,RPERKINS,6505054876,19-DEC-07,SH_CLERK,250000,0,122,50
192,Sarah,Bell,SBELL,6505011876,04-FEB-04,SH_CLERK,400000,0,123,50
193,Britney,Everett,BEVERETT,6505012876,03-MAR-05,SH_CLERK,390000,0,123,50
194,Samuel,McCain,SMCCAIN,6505013876,01-JUL-06,SH_CLERK,320000,0,123,50
195,Vance,Jones,VJONES,6505014876,17-MAR-07,SH_CLERK,280000,0,123,50
196,Alana,Walsh,AWALSH,6505079811,24-APR-06,SH_CLERK,310000,0,124,50
197,Kevin,Feeney,KFEENEY,6505079822,23-MAY-06,SH_CLERK,300000,0,124,50
198,Donald,OConnell,DOCONNEL,6505079833,21-JUN-07,SH_CLERK,260000,0,124,50
199,Douglas,Grant,DGRANT,6505079844,13-JAN-08,SH_CLERK,260000,0,124,50
200,Jennifer,Whalen,JWHALEN,5151234444,17-SEP-03,AD_ASST,440000,0,101,10
201,Michael,Hartstein,MHARTSTE,5151235555,17-FEB-04,MK_MAN,1300000,0,100,20
202,Pat,Fay,PFAY,6031236666,17-AUG-05,MK_REP,600000,0,201,20
203,Susan,Mavris,SMAVRIS,5151237777,07-JUN-02,HR_REP,650000,0,101,40
204,Hermann,Baer,HBAER,5151238888,07-JUN-02,PR_REP,1000000,0,101,70
205,Shelley,Higgins,SHIGGINS,5151238080,07-JUN-02,AC_MGR,1200800,0,101,110
206,William,Gietz,WGIETZ,5151238181,07-JUN-02,AC_ACCOUNT,830000,0,205,110
